STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       4928;202609140000;    2;   2.5; 280;eor
       4928;202609140010;    2;   2.7; 280;eor
       4928;202609140020;    2;   2.7; 270;eor
       4928;202609140030;    2;   2.5; 280;eor
       4928;202609140040;    2;   2.6; 270;eor
       4928;202609140050;    2;   2.4; 270;eor
       4928;202609140100;    2;   1.3; 240;eor
       4928;202609140110;    2;   1.1; 140;eor
       4928;202609140120;    2;   1.3; 160;eor
       4928;202609140130;    2;   1.4; 170;eor
       4928;202609140140;    2;   1.3; 180;eor
       4928;202609140150;    2;   1.1; 240;eor
       4928;202609140200;    2;   1.5; 260;eor
       4928;202609140210;    2;   1.8; 270;eor
       4928;202609140220;    2;   1.4; 250;eor
       4928;202609140230;    2;   1.0; 220;eor
       4928;202609140240;    2;   0.9; 190;eor
       4928;202609140250;    2;   0.9; 180;eor
       4928;202609140300;    2;   1.2; 130;eor
       4928;202609140310;    2;   1.4; 150;eor
       4928;202609140320;    2;   1.9; 170;eor
       4928;202609140330;    2;   1.8; 150;eor
       4928;202609140340;    2;   2.0; 150;eor
       4928;202609140350;    2;   1.8; 160;eor
       4928;202609140400;    2;   1.7; 160;eor
       4928;202609140410;    2;   1.7; 160;eor
       4928;202609140420;    2;   1.6; 150;eor
       4928;202609140430;    2;   1.6; 140;eor
       4928;202609140440;    2;   1.9; 140;eor
       4928;202609140450;    2;   2.3; 140;eor
       4928;202609140500;    2;   2.2; 140;eor
       4928;202609140510;    2;   2.5; 150;eor
       4928;202609140520;    2;   3.2; 160;eor
       4928;202609140530;    2;   2.2; 150;eor
       4928;202609140540;    2;   2.0; 140;eor
       4928;202609140550;    2;   2.0; 130;eor
       4928;202609140600;    2;   2.2; 130;eor
       4928;202609140610;    2;   2.4; 130;eor
       4928;202609140620;    2;   2.3; 130;eor
       4928;202609140630;    2;   2.1; 130;eor
       4928;202609140640;    2;   2.1; 130;eor
       4928;202609140650;    2;   1.3; 130;eor
       4928;202609140700;    2;   0.9; 110;eor
       4928;202609140710;    2;   0.8; 120;eor
       4928;202609140720;    2;   0.9;  70;eor
       4928;202609140730;    2;   0.9;  90;eor
       4928;202609140740;    2;   1.2; 120;eor
       4928;202609140750;    2;   1.2; 110;eor
       4928;202609140800;    2;   1.1; 120;eor
       4928;202609140810;    2;   1.2; 110;eor
       4928;202609140820;    2;   1.0; 110;eor
       4928;202609140830;    2;   1.1; 100;eor
       4928;202609140840;    2;   1.0;  80;eor
       4928;202609140850;    2;   1.0;  60;eor
       4928;202609140900;    2;   1.2;  20;eor
       4928;202609140910;    2;   0.8;  30;eor
       4928;202609140920;    2;   0.8; 310;eor
       4928;202609140930;    2;   0.9; 330;eor
       4928;202609140940;    2;   1.2; 230;eor
       4928;202609140950;    2;   1.1;  10;eor
       4928;202609141000;    2;   1.0; 260;eor
       4928;202609141010;    2;   1.0; 300;eor
       4928;202609141020;    2;   1.2; 320;eor
       4928;202609141030;    2;   1.6; 340;eor
       4928;202609141040;    2;   1.4; 270;eor
       4928;202609141050;    2;   1.8; 350;eor
       4928;202609141100;    2;   1.9; 340;eor
       4928;202609141110;    2;   1.6;  60;eor
       4928;202609141120;    2;   1.3; 320;eor
       4928;202609141130;    2;   1.9; 340;eor
       4928;202609141140;    2;   1.0;  40;eor
       4928;202609141150;    2;   1.0; 160;eor
       4928;202609141200;    2;   1.4; 180;eor
       4928;202609141210;    2;   1.7; 150;eor
       4928;202609141220;    2;   1.8; 110;eor
       4928;202609141230;    2;   1.6;  40;eor
       4928;202609141240;    2;   2.2;  50;eor
       4928;202609141250;    2;   2.0;  60;eor
       4928;202609141300;    2;   1.5;  40;eor
       4928;202609141310;    2;   2.0;  40;eor
       4928;202609141320;    2;   1.7;  50;eor
       4928;202609141330;    2;   1.2; 340;eor
       4928;202609141340;    2;   1.9; 320;eor
       4928;202609141350;    2;   1.8; 290;eor
